noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
bdb68e27-6de0-4408-b89a-8871736aa32b,1,Claus Heinemann Elektroanlagen GmbH,DE811444974,Unterföhring,85774,DE21H,DEU,,,winner,,,,medium,DEU,
2bfdd518-4b80-49f8-81f4-f47d2885b727,1,Dr. Jan Eckstein,DE276847672-00,Göttingen,37083,DE91C,DEU,,,winner,,,,micro,,
2bfdd518-4b80-49f8-81f4-f47d2885b727,1,"BG Dr. Jan Eckstein, Stefan Klein, Rudolf Necker, Brigitte Emmi Frahm-Jaudes, Edwin Krumb",DE276847672,Göttingen,37083,DE91C,DEU,,,winner,,,,micro,,
2bfdd518-4b80-49f8-81f4-f47d2885b727,1,Johannes Karrer,DE85 107 396 41,Halle (Saale),6114,DEE02,DEU,,,winner,,,,micro,,
2bfdd518-4b80-49f8-81f4-f47d2885b727,1,BG Dr. Hans Pfestorf & Christine Mahler,DE308535377,Erfurt,99094,DEG01,DEU,,,winner,,,,micro,,
2bfdd518-4b80-49f8-81f4-f47d2885b727,1,"Kartierteam Sonneberg-Nord, Dr. Michael Schön",DE54789123627,Weiden,92637,DE233,DEU,,,winner,,,,micro,,
e975a98c-0dc5-43a2-bdb4-71e8748c77c3,1,AGRAVIS,DE214932558,Köthen (Anhalt),6366,DEE05,DEU,,,winner,,,,small,,
25a0352e-09a9-4764-be1a-0ccd05d2c4a1,1,Remondis Mitteldeutschland GmbH,DE158262784,Weißenfels,6667,DEE08,DEU,https://www.remondis-weissenfels.de/impressum,FALSE,winner,,,,medium,,FALSE
25a0352e-09a9-4764-be1a-0ccd05d2c4a1,1,Betting AG,DE 150 515 247,Unterwellenborn,7333,DEG0I,DEU,https://www.betting-ag.de/impressum/,FALSE,winner,,,,micro,,FALSE
9906d914-0d44-4157-ae93-198a0624135c,1,FBB Flügge-Bogdahn Bauingenieure GmbH,DE354154669,Flensburg,24941,DEF01,DEU,,,winner,,,,small,DEU,
1adf4e81-c486-43bb-9615-f7e0eeeabed0,1,VTA Deutschland GmbH,DE811656583,Passau,94036,DE222,DEU,,,winner,,,,medium,DEU,
e1c3233e-486d-4331-ab78-aec5105c2a9e,1,R.E.U.S.S. Sanierung GmbH,DE264114143,Freital,1705,DED2F,DEU,,,winner,,,,medium,DEU,
843073a5-4d9a-46ef-959a-95249722e71a,1,LPI Ingenieurgesellschaft mbH,DE237016247,Hannover,30519,DE929,DEU,,,winner,,,,medium,DEU,
c413a561-07e4-4883-9d62-94ad2b925738,1,PBA Planungsgesellschaft Haustechnik mbH,DE183490754,Hamburg,22769,DE600,DEU,,,winner,,,,medium,DEU,
31c5055d-1adb-4ea9-a7e0-ed6cd47e14aa,1,Energieversorgung Gera GmbH,DE 150518454,Gera,7545,DEG02,DEU,,,winner,,,,medium,DEU,
1aa208cb-b101-43f1-8c96-088292b342fa,1,PCS GmbH,DE325641968,Gelnhausen,63571,DE719,DEU,,,winner,,,,medium,DEU,
03979279-edce-46c0-8848-f8c27be1c64b,1,Bartholomeus Metallbau GmbH,UStID.DE206392751,Bergen,83346,DE21M,DEU,,,winner,,,,small,,FALSE
a6f699c4-4f00-4f60-bc14-69269a2d460b,1,Binsch GmbH,DE147810445,Ostfildern,73760,DE113,DEU,,,winner,,,,medium,DEU,
3d394603-731b-4ded-9e91-d7544c32a43e,1,PWI Service UG (haftungsbeschränkt),DE344106477,Menden,58706,DEA58,DEU,,,winner,,,,medium,DEU,
bac53200-506b-4bf0-a74a-5d919b574437,1,Schäfer Trennwandsysteme GmbH,DE185185053,Horhausen,56593,DEB13,DEU,,FALSE,winner,,,,small,,FALSE
c675fd63-b999-45b8-aacd-830f68de167a,1,Qualitätsböden-Kummer GmbH & Co. KG,DE 307714534,Reichenbach,8468,DED44,DEU,,,winner,,,,medium,DEU,
02d6e20a-eedd-4dee-9c61-5f691b8eacd3,1,INROS LACKNER SE,DE 211161756,Rostock,18055,DE803,DEU,https://www.inros-lackner.de/,,winner,,,,large,,FALSE
c0aa537c-8bb9-4764-a247-c1fe2453cfa7,1,Kempen Krause Ingenieure GmbH,DE289422438,Aachen,52072,DEA2D,DEU,,,winner,,,,medium,DEU,
c2528a17-d47f-4cff-a3b9-58f82c2fb74c,1,Regionalverkehr Alb-Bodensee GmbH (RAB),DE147034442,Ulm,89073,DE144,DEU,,,winner,,,,large,DEU,
c2528a17-d47f-4cff-a3b9-58f82c2fb74c,1,Gairing Omnibusverkehr GmbH&CoKG,DE 197646012,Neu-Ulm,89231,DE279,DEU,,,winner,,,,small,DEU,
c2528a17-d47f-4cff-a3b9-58f82c2fb74c,1,Omnibus Missel e.K.,DE238611452,Ulm-Eggingen,89079,DE144,DEU,,,winner,,,,small,DEU,
22041e45-1a7f-49cd-883a-d190efd43b61,1,Schrempf Bauunternehmen GmbH & Co.KG,DE191522467,Gedern,63688,DE71E,DEU,,,winner,,,,small,,
c4661a14-4254-4c7c-a8cd-8d1a09c30a28,1,vermicon AG,DE812294389,Hallbergmoos,85399,DE21B,DEU,,FALSE,winner,,,,small,,FALSE
ccdf05cd-8d2c-4de4-a24a-ee12cd161fcb,1,Lehner Gerüsttechnik GmbH,DE304005063,Regensburg,93055,DE232,DEU,,,winner,,,,small,DEU,
c5f2a9da-dd3a-4a15-adda-15ddc87207d4,1,Heiser's Küchen GmbH,DE 812650489,Budenheim,55257,DEB3J,DEU,,,winner,,,,medium,DEU,
a32f1809-adbf-43f1-9125-598741623cca,1,Hermann GmbH Maschinenbau-Technologie,DE188873188,Weiden,92637,DE233,DEU,,,winner,,,,medium,DEU,
624b82c4-3eba-4eb0-be45-62a51737ed38,1,Metallbau Politz GmbH,DE 140 099 594,Edersleben,6528,DEE0A,DEU,,,winner,,,,medium,,
8b940851-1860-406b-b6d4-7748d46bb24d,1,Eberhardt Modulbau Produktion GmbH & Co KG,DE147041056,Blaubeuren-Asch,89143,DE145,DEU,,,winner,,,,medium,DEU,
66c1d06f-880c-4683-a7df-0066de30476c,1,BBI Ingenieure GmbH,DE191526028,Ingolstadt,85049,DE211,DEU,,,winner,,,,medium,DEU,
e4eee1f7-8d74-449f-a3f8-985412336f4d,1,Rizgar GmbH,DE246123834,München,80797,DE212,DEU,,,winner,,,,medium,DEU,
810fae74-0d3a-4afa-8d5d-1d921ac66b81,1,XERION BERLIN LABORATORIES GmbH,DE309952686,Berlin,12487,DE300,DEU,,,winner,,,,small,,
91165522-d9d1-49c4-a059-daff0c7c5a9b,1,Remondis Industrie Service GmbH & Co. KG,DE228737976,Lünen,44536,DEA5C,DEU,,,winner,,,,large,DEU,
0fdead83-a77d-4cbd-8a5e-8f1be2f610a9,1,MTM-Plan GmbH,DE323917727,Eschlkam,93458,DE235,DEU,,,winner,,,,medium,DEU,
e53b2d6c-51c5-4b9a-9e6b-5db31ee43e2c,1,Ingenieurbüro für Versorgungstechnik,DE156059157,Pöcking,82343,DE21L,DEU,,TRUE,winner,,,,small,,
6a195d3a-c8c3-406a-9be5-2168abdff018,1,Schreinerei Johannes Röll,DE158499955,Blankenbach,63825,DE264,DEU,,,winner,,,,small,,
b6c5fc5e-a298-4a52-99e7-a04528437f3d,1,ICT AG,DE146261612,Kohlberg,72664,DE113,DEU,,,winner,,,,small,DEU,
b6c5fc5e-a298-4a52-99e7-a04528437f3d,1,Production Resource Group AG,DE 271405080,Hamburg,22113,DE600,DEU,,,winner,,,,large,DEU,
5677cf7b-4073-4c4b-9203-75916929709e,1,ehrhard architekten,DE312054637,Mindelheim,87719,DE27C,DEU,,TRUE,winner,,,,small,,FALSE
e30a61d7-42e3-4527-a0c5-8f60695e4148,1,HP Schmitz X Digital GmbH,DE 280052724,Hamburg,22767,DE600,DEU,,,winner,,,,medium,DEU,
95d63fb7-ed2e-47cb-8308-f48e8f116a84,1,Gebr. Schmidt Bauunternehmen AG,DE277935357,Kirchen-Freusburg,57548,DEB13,DEU,,,winner,,,,medium,DEU,
eb5e2b7a-413f-49b5-9e5a-5dcc368d9c27,1,secura protect Berlin GmbH,DE319839477,Langenselbold,63505,DE719,DEU,,,winner,,,,medium,DEU,
6d1ac22b-074f-487a-bbe0-890cad7f97a7,1,"TWE Tief-, Wasser- und Erdbau Uder GmbH & Co. KG",DE 369 881 934,Uder,37318,DEG06,DEU,,,winner,,,,medium,,FALSE
23c468a7-b777-4f09-9059-bd313986c7d6,1,Cologne Hunters Licht und Ton Service GmbH,DE153241514,Köln,50677,DEA23,DEU,,,winner,,,,small,DEU,
